participantId,trialNumber,condition,values,marked,reportedPercent,truePercent,log2Error
006,27,ComparativeBar,"[80,94,11,29,20,99,10,18,57,65]","[1,9]",60,69,3.189824558880017
006,28,Bar,"[49,54,97,60,65,14,28,10,22,10]","[3,2]",60,62,1.0874628412503393
006,29,StackedBar,"[58,64,2,66,45,72,69,16,27,19]","[4,0]",80,78,1.0874628412503393
006,30,ComparativeBar,"[83,7,84,69,35,89,81,23,61,72]","[5,3]",78,78,0
006,31,ComparativeBar,"[86,9,46,64,0,90,98,11,47,80]","[7,8]",10,23,3.7142455176661224
006,32,Bar,"[67,24,14,43,28,81,22,96,82,63]","[4,3]",70,65,2.357552004618084
006,33,StackedBar,"[67,62,71,73,8,73,84,29,46,39]","[4,6]",5,10,2.357552004618084
006,34,Bar,"[36,32,56,45,57,6,73,29,95,45]","[6,8]",70,77,2.8328900141647417
006,35,Bar,"[12,91,100,28,70,19,75,74,27,62]","[1,8]",25,30,2.357552004618084
006,36,StackedBar,"[48,40,52,18,95,49,21,24,86,18]","[0,7]",55,50,2.357552004618084
006,37,Bar,"[54,69,9,43,52,10,1,55,13,20]","[6,3]",1,2,0.16992500144231237
006,38,Bar,"[14,1,91,69,76,33,15,26,39,87]","[7,0]",60,54,2.6147098441152083
006,39,Bar,"[92,70,96,20,64,100,22,53,41,63]","[8,1]",60,59,0.16992500144231237
006,40,ComparativeBar,"[38,97,28,78,98,25,79,95,19,84]","[1,8]",15,20,2.357552004618084
006,41,ComparativeBar,"[74,2,51,27,5,21,68,67,41,30]","[5,4]",20,24,2.0443941193584534
006,42,ComparativeBar,"[0,4,64,52,70,50,12,96,16,13]","[2,3]",80,81,0.16992500144231237
006,43,StackedBar,"[41,10,73,60,78,72,63,70,98,60]","[8,0]",50,42,3.0223678130284544
006,44,StackedBar,"[34,96,29,79,75,0,75,5,82,34]","[8,0]",40,41,0.16992500144231237
006,45,Bar,"[9,50,75,6,90,37,48,4,14,46]","[8,7]",35,29,2.6147098441152083
006,46,StackedBar,"[63,3,74,56,44,38,99,56,93,26]","[5,2]",50,51,0.16992500144231237
006,47,Bar,"[35,68,33,58,14,54,13,77,37,61]","[1,9]",90,90,0
006,48,StackedBar,"[42,78,95,56,82,35,66,6,28,92]","[4,5]",43,43,0
006,49,ComparativeBar,"[94,38,54,65,90,74,73,21,37,97]","[7,6]",32,29,1.6438561897747246
006,50,StackedBar,"[41,23,28,5,44,8,57,17,78,41]","[2,0]",70,68,1.0874628412503393
006,51,StackedBar,"[1,50,24,83,12,17,16,76,38,85]","[7,1]",64,66,1.0874628412503393
006,52,StackedBar,"[56,0,72,61,92,15,31,88,42,47]","[6,0]",47,55,3.0223678130284544
006,53,StackedBar,"[10,76,17,2,76,11,5,59,24,93]","[8,9]",20,26,2.6147098441152083
006,54,StackedBar,"[9,56,39,90,32,43,66,62,55,69]","[3,4]",36,36,0
006,55,ComparativeBar,"[75,90,65,36,15,38,58,24,72,44]","[6,4]",28,26,1.0874628412503393
006,56,Bar,"[58,10,64,58,55,30,32,29,60,93]","[6,1]",29,31,1.0874628412503393
006,57,StackedBar,"[1,77,64,12,97,95,33,39,54,92]","[4,2]",63,66,1.6438561897747246
006,58,ComparativeBar,"[67,33,92,27,27,72,30,99,51,95]","[3,1]",82,82,0
006,59,ComparativeBar,"[74,75,40,83,74,8,77,45,12,45]","[5,2]",22,20,1.0874628412503393
006,60,StackedBar,"[38,75,33,15,20,38,72,74,58,81]","[7,4]",23,27,2.0443941193584534
001,1,ComparativeBar,"[39,39,12,15,0,96,82,4,52,73]","[6,4]",0,0,0
001,2,Bar,"[23,48,89,42,13,70,50,12,6,56]","[8,6]",10,12,1.0874628412503393
001,3,ComparativeBar,"[72,79,8,23,40,71,11,13,48,32]","[5,3]",25,32,2.8328900141647417
001,4,ComparativeBar,"[84,87,35,40,64,28,29,54,4,48]","[8,0]",12,5,2.8328900141647417
001,5,Bar,"[11,78,5,9,91,60,80,99,22,63]","[3,7]",9,9,0
001,6,ComparativeBar,"[3,89,44,34,88,49,98,31,14,54]","[6,3]",22,35,3.7142455176661224
001,7,StackedBar,"[99,92,68,16,18,69,91,20,99,64]","[2,1]",100,74,4.7073591320808825
001,8,Bar,"[35,90,61,65,47,26,41,35,33,95]","[5,3]",40,40,0
001,9,StackedBar,"[93,26,27,83,85,4,71,25,15,10]","[5,1]",99,15,6.394462694610317
001,10,StackedBar,"[20,4,58,83,38,7,15,36,87,87]","[7,5]",99,19,6.324180546618741
001,11,StackedBar,"[88,95,45,56,54,5,92,50,28,23]","[6,5]",95,5,6.493855449240822
001,12,ComparativeBar,"[45,67,85,27,20,94,55,73,92,1]","[0,4]",48,44,2.0443941193584534
001,13,ComparativeBar,"[0,23,38,53,57,50,81,64,97,93]","[2,3]",76,72,2.0443941193584534
001,14,StackedBar,"[51,29,97,54,97,66,22,14,14,3]","[7,0]",100,27,6.1922928144707665
001,15,ComparativeBar,"[6,19,44,11,90,73,96,15,52,56]","[1,8]",38,37,0.16992500144231237
001,16,ComparativeBar,"[5,16,97,21,2,6,19,55,29,66]","[6,4]",15,11,2.0443941193584534
